source_region,destination_region,count,mean_ms,median_ms,std_ms,min_ms,p95_ms,p99_ms,max_ms
ap-northeast-1,ap-northeast-1,123811,0.584,0.71,0.359,0.354,0.795,0.812,109.609
ap-northeast-1,ap-south-1,123765,126.597,126.694,17.393,125.536,128.039,128.1,6239.766
ap-northeast-1,eu-west-1,123820,201.727,202.506,2.541,198.21,206.16,206.245,273.995
ap-northeast-1,us-east-1,123822,148.527,149.09,2.039,142.94,152.13,152.155,158.565
ap-northeast-1,us-west-2,123824,98.097,98.146,0.676,96.536,99.134,99.282,135.681
ap-south-1,ap-northeast-1,123844,126.55,126.686,0.804,125.536,128.05,128.105,199.771
ap-south-1,ap-south-1,123842,0.104,0.109,0.034,0.045,0.148,0.16,0.985
ap-south-1,eu-west-1,123847,119.832,119.69,1.375,118.02,121.785,121.904,143.486
ap-south-1,us-east-1,123846,193.313,196.478,10.119,183.343,212.682,218.96,233.459
ap-south-1,us-west-2,123847,230.37,230.343,0.333,229.814,230.893,230.976,268.832
eu-west-1,ap-northeast-1,123661,201.73,202.523,2.56,198.214,206.163,206.248,304.093
eu-west-1,ap-south-1,123607,119.827,119.677,1.377,118.025,121.792,121.899,149.601
eu-west-1,eu-west-1,123735,0.257,0.352,0.126,0.062,0.392,0.406,1.342
eu-west-1,us-east-1,123746,68.362,68.36,0.199,67.846,68.711,68.73,70.554
eu-west-1,us-west-2,123746,116.757,116.923,0.72,115.185,117.699,118.318,118.441
us-east-1,ap-northeast-1,123178,148.517,149.086,2.037,142.937,152.103,152.123,160.353
us-east-1,ap-south-1,123127,193.307,196.478,10.13,183.347,212.696,219.047,231.663
us-east-1,eu-west-1,123265,68.357,68.352,0.195,67.877,68.706,68.728,69.68
us-east-1,us-east-1,123453,0.234,0.21,0.146,0.056,0.471,0.49,1.478
us-east-1,us-west-2,123339,61.207,61.053,4.552,55.335,68.16,68.2,79.488
us-west-2,ap-northeast-1,123494,98.095,98.162,0.653,96.537,99.126,99.275,101.565
us-west-2,ap-south-1,123436,230.368,230.344,0.301,229.813,230.885,230.98,255.223
us-west-2,eu-west-1,123573,116.753,116.915,0.72,115.185,117.691,118.317,118.419
us-west-2,us-east-1,123655,61.211,61.039,4.552,55.325,68.166,68.207,73.096
us-west-2,us-west-2,123657,0.145,0.137,0.05,0.05,0.224,0.238,1.558
