src_region,peer_region,first_half_ms,second_half_ms,abs_drift_ms,rel_drift
ap-northeast-1,ap-northeast-1,0.667,0.711,0.043,0.065
ap-northeast-1,ap-south-1,126.405,126.713,0.308,0.002
ap-northeast-1,eu-west-1,202.465,202.554,0.089,0.000
ap-northeast-1,us-east-1,149.280,148.939,0.341,0.002
ap-northeast-1,us-west-2,98.196,98.140,0.056,0.001
ap-south-1,ap-northeast-1,126.428,126.694,0.266,0.002
ap-south-1,ap-south-1,0.107,0.113,0.006,0.056
ap-south-1,eu-west-1,119.543,119.995,0.452,0.004
ap-south-1,us-east-1,199.589,183.760,15.829,0.079
ap-south-1,us-west-2,230.326,230.352,0.026,0.000
eu-west-1,ap-northeast-1,202.460,202.545,0.085,0.000
eu-west-1,ap-south-1,119.530,119.992,0.462,0.004
eu-west-1,eu-west-1,0.300,0.352,0.052,0.173
eu-west-1,us-east-1,68.372,68.338,0.034,0.000
eu-west-1,us-west-2,116.940,116.615,0.325,0.003
us-east-1,ap-northeast-1,149.273,148.944,0.329,0.002
us-east-1,ap-south-1,199.590,183.748,15.842,0.079
us-east-1,eu-west-1,68.369,68.327,0.042,0.001
us-east-1,us-east-1,0.196,0.213,0.017,0.087
us-east-1,us-west-2,61.004,61.981,0.977,0.016
us-west-2,ap-northeast-1,98.202,98.156,0.046,0.000
us-west-2,ap-south-1,230.323,230.357,0.034,0.000
us-west-2,eu-west-1,116.931,116.630,0.301,0.003
us-west-2,us-east-1,61.008,61.991,0.983,0.016
us-west-2,us-west-2,0.131,0.173,0.042,0.321
